Normal

A,w,eww,D,clickTime
409.6,25.6,3,1,0.820000171661377
307.20000000000005,25.6,3,1,0.8989999294281006
204.8,25.6,3,1,0.9679999351501465
307.20000000000005,25.6,3,1,0.9779999256134033
307.20000000000005,25.6,3,1,1.002000093460083
409.6,25.6,3,1,0.9440000057220459
204.8,25.6,3,1,0.8329999446868896
409.6,25.6,3,1,0.9679999351501465
204.8,25.6,3,1,1.9670000076293945
204.8,25.6,3,0.5,0.7990000247955322
307.20000000000005,25.6,3,0.5,1.3610000610351562
307.20000000000005,25.6,3,0.5,0.9679999351501465
409.6,25.6,3,0.5,1.1470000743865967
204.8,25.6,3,0.5,0.9570000171661377
204.8,25.6,3,0.5,1.2369999885559082
409.6,25.6,3,0.5,1.1029999256134033
409.6,25.6,3,0.5,1.180999994277954
307.20000000000005,25.6,3,0.5,0.9330000877380371
307.20000000000005,25.6,3,0,0.9340000152587891
307.20000000000005,25.6,3,0,1.002000093460083
409.6,25.6,3,0,1.2249999046325684
307.20000000000005,25.6,3,0,1.0789999961853027
204.8,25.6,3,0,0.9340000152587891
204.8,25.6,3,0,0.9679999351501465
409.6,25.6,3,0,1.878000020980835
204.8,25.6,3,0,0.7430000305175781
409.6,25.6,3,0,1.0160000324249268
409.6,25.6,2,1,1.248000144958496
204.8,25.6,2,1,1.0909998416900635
204.8,25.6,2,1,0.940000057220459
409.6,25.6,2,1,0.9279999732971191
204.8,25.6,2,1,1.058000087738037
307.20000000000005,25.6,2,1,2.113999843597412
307.20000000000005,25.6,2,1,0.8210000991821289
307.20000000000005,25.6,2,1,0.8329999446868896
409.6,25.6,2,1,1.1470000743865967
204.8,25.6,2,0.5,1.0230000019073486
307.20000000000005,25.6,2,0.5,1.2939999103546143
307.20000000000005,25.6,2,0.5,0.9100000858306885
409.6,25.6,2,0.5,1.0699999332427979
307.20000000000005,25.6,2,0.5,1.3510000705718994
204.8,25.6,2,0.5,1.056999921798706
409.6,25.6,2,0.5,1.1800000667572021
409.6,25.6,2,0.5,0.8659999370574951
204.8,25.6,2,0.5,1.1140000820159912
409.6,25.6,2,0,0.9119999408721924
409.6,25.6,2,0,1.0439999103546143
409.6,25.6,2,0,0.9810001850128174
204.8,25.6,2,0,0.8980000019073486
307.20000000000005,25.6,2,0,0.8439998626708984
307.20000000000005,25.6,2,0,0.7880001068115234
204.8,25.6,2,0,0.9440000057220459
204.8,25.6,2,0,0.8229999542236328
307.20000000000005,25.6,2,0,1.00600004196167
409.6,25.6,1.33,1,1.1689999103546143
204.8,25.6,1.33,1,0.9130001068115234
307.20000000000005,25.6,1.33,1,1.1339998245239258
409.6,25.6,1.33,1,0.9570000171661377
307.20000000000005,25.6,1.33,1,1.378000020980835
204.8,25.6,1.33,1,1.4110000133514404
204.8,25.6,1.33,1,0.9360001087188721
409.6,25.6,1.33,1,1.2709999084472656
307.20000000000005,25.6,1.33,1,1.7420001029968262
409.6,25.6,1.33,0.5,0.8580000400543213
409.6,25.6,1.33,0.5,1.1659998893737793
307.20000000000005,25.6,1.33,0.5,1.1050000190734863
204.8,25.6,1.33,0.5,1.053999900817871
307.20000000000005,25.6,1.33,0.5,0.9900000095367432
204.8,25.6,1.33,0.5,1.7100000381469727
204.8,25.6,1.33,0.5,1.0429999828338623
409.6,25.6,1.33,0.5,0.9939999580383301
307.20000000000005,25.6,1.33,0.5,1.003000020980835
409.6,25.6,1.33,0,1.7170000076293945
307.20000000000005,25.6,1.33,0,0.9690001010894775
409.6,25.6,1.33,0,0.8489999771118164
307.20000000000005,25.6,1.33,0,1.053999900817871
204.8,25.6,1.33,0,0.943000078201294
409.6,25.6,1.33,0,0.9460000991821289
204.8,25.6,1.33,0,1.428999900817871
204.8,25.6,1.33,0,0.875999927520752
307.20000000000005,25.6,1.33,0,0.9560000896453857
204.8,19.200000000000003,3,1,1.1140000820159912
307.20000000000005,19.200000000000003,3,1,2.5309998989105225
307.20000000000005,19.200000000000003,3,1,1.687000036239624
409.6,19.200000000000003,3,1,1.0910000801086426
409.6,19.200000000000003,3,1,1.2149999141693115
204.8,19.200000000000003,3,1,1.0799999237060547
204.8,19.200000000000003,3,1,1.3960001468658447
307.20000000000005,19.200000000000003,3,1,1.0219998359680176
409.6,19.200000000000003,3,1,1.2150001525878906
204.8,19.200000000000003,3,0.5,0.7990000247955322
